Date,Crew,Location,Class,Short_Decrpt,Lat_Points,Lon_Points,Points,Lat_Line,Lon_Line,Lines,Lat_Area,Lon_Area,Polygons,Long_Description,End_Photo,URL,Add_Photos,URL2,Add_Photo,URL3,Add_Photo,URL4,Add_Photo,URL5
6/4/2021,"RRD, JJB ",Spartan Village ,Artifact,,42.7139022,-84.49451279,POINT (-84.49451279 42.7139022),,,,,,,A rounded concrete object with a metal pipe going through it partially buried in the ground ,,,,,,,,,,
6/4/2021,"RRD, JJB",Spartan Village,Architectural Feature,,42.7139685,-84.49473761,POINT (-84.49473761 42.7139685),,,,,,,"Strip of concrete that runs west, then north, then east, potentially the outline foundation of some sort of structure. The wall is roughly 30 cm / 1 foot wide and 8 cm / 4 inches tall. Calling this Concrete Foundation 1 / Feature 1. ",,,,,,,,,,
6/4/2021,"RRD, JJB ",Spartan Village ,Architectural Feature,,42.71399361,-84.49439685,POINT (-84.49439685 42.71399361),,,,,,,Small concrete block near Shovel Test B-2 ,,,,,,,,,,
6/4/2021,Stacey C,Spartan Village ,Architectural Feature,,,,,,,,,,,Cement block found at Spartan Village - eastern portion near Harrison Rd.,,,,,,,,,,
6/4/2021,Stacey C,Spartan Village ,Architectural Feature,,,,,,,,,,,Another concrete pad with pole sticking out,,,,,,,,,,
6/4/2021,Stacey ,Spartan Village ,Architectural Feature,,,,,,,,,,,"Linear concreate feature, possibly a foundation?",,,,,,,,,,
6/7/2021,Aubree Marshall ,Spartan Village ,Architectural Feature,,42.71398209,-84.49438437,POINT (-84.49438437 42.71398209),,,,,,,Possible foundation of house. One meter away is at least 4 cinder blocks on a line,,,,,,,,,,
6/7/2021,"JJB, SLC",Spartan Village ,Artifact,Brick Scatter,42.71389628,-84.49422867,POINT (-84.49422867 42.71389628),,,,42.7139051,-84.49423799,"POLYGON ((-84.49423799 42.7139051, -84.49421755 42.71390741, -84.49421115 42.71388272, -84.49424543 42.71388696))","In area revealed by construction scraping. Only have removed 2 or 3 feet.  Scatter of bricks in south eastern portion of the site, roughly 30 meters west of Harrison Road. Several types of bricks - red, deep purplish-red, and yellow. All broken. This is the largest concentration of brick, but there are broken bricks scattered throughout exposed area. Ceramic drain pipe also found in exposed area. ",,,,,,,,,,
6/7/2021,"JJB, SLC",Spartan Village ,Artifact,Brick Scatter,42.71389628,-84.49422867,POINT (-84.49422867 42.71389628),,,,42.71390741,-84.49421755,,"In area revealed by construction scraping. Only have removed 2 or 3 feet.  Scatter of bricks in south eastern portion of the site, roughly 30 meters west of Harrison Road. Several types of bricks - red, deep purplish-red, and yellow. All broken. This is the largest concentration of brick, but there are broken bricks scattered throughout exposed area. Ceramic drain pipe also found in exposed area. ",,,,,,,,,,
6/7/2021,"JJB, SLC",Spartan Village ,Artifact,Brick Scatter,42.71389628,-84.49422867,POINT (-84.49422867 42.71389628),,,,42.71388272,-84.49421115,,"In area revealed by construction scraping. Only have removed 2 or 3 feet.  Scatter of bricks in south eastern portion of the site, roughly 30 meters west of Harrison Road. Several types of bricks - red, deep purplish-red, and yellow. All broken. This is the largest concentration of brick, but there are broken bricks scattered throughout exposed area. Ceramic drain pipe also found in exposed area. ",,,,,,,,,,
6/7/2021,"JJB, SLC",Spartan Village ,Artifact,Brick Scatter,42.71389628,-84.49422867,POINT (-84.49422867 42.71389628),,,,42.71388696,-84.49424543,,"In area revealed by construction scraping. Only have removed 2 or 3 feet.  Scatter of bricks in south eastern portion of the site, roughly 30 meters west of Harrison Road. Several types of bricks - red, deep purplish-red, and yellow. All broken. This is the largest concentration of brick, but there are broken bricks scattered throughout exposed area. Ceramic drain pipe also found in exposed area. ",,,,,,,,,,
6/7/2021,"JJB, SLC, JAB",Spartan Village ,Artifact,,42.71378125,-84.49443772,POINT (-84.49443772 42.71378125),,,,,,,"Earthenware object decorated with floral / botanical motif. Likely either a large flower planter base or a birdbath. Also found near this object was a red glazed whiteware, cut stone, and lots of brick. Fresh break in earthenware object, one piece 5 meters to the south, likely broken and moved by scraping that happen today. ",,,,,,,,,,
6/7/2021,"JJB, SLC",Spartan Village ,Artifact,,42.71397571,-84.49436844,POINT (-84.49436844 42.71397571),,,,,,,Stoneware container sherd located near a few pieces of concrete,,,,,,,,,,
6/8/2021,JJB,Spartan Village ,Artifact, Drain Tile,42.71385426,-84.49471551,POINT (-84.49471551 42.71385426),42.71385804,-84.49470509,"LINESTRING (-84.49470509 42.71385804, -84.49472983 42.7138657))",,,,"Buried stoneware drain tile, roughly 4 in diameter. Runs roughly west by north west / east by south east. Exposed by backhoe scraping. Collected a few pieces.",1623161551241.jpg,https://kc.kobotoolbox.org/attachment/original?media_file=campstac/attachments/1623161551241.jpg,1623161569120.jpg,https://kc.kobotoolbox.org/attachment/original?media_file=campstac/attachments/1623161569120.jpg,1623161584727.jpg,https://kc.kobotoolbox.org/attachment/original?media_file=campstac/attachments/1623161569120.jpg,,,,
6/8/2021,JJB,Spartan Village ,Artifact, Drain Tile,42.71385426,-84.49471551,POINT (-84.49471551 42.71385426),42.7138657,-84.49472983,,,,,"Buried stoneware drain tile, roughly 4 in diameter. Runs roughly west by north west / east by south east. Exposed by backhoe scraping. Collected a few pieces.",,,,,,,,,,
